measure,location,sex,age,rei,year,val
YLDs (Years Lived with Disability),Connecticut,Female,65-69 years,Diet high in red meat,1998,123.8012392
YLDs (Years Lived with Disability),Delaware,Male,80-84 years,Diet high in red meat,1998,166.6789003
YLDs (Years Lived with Disability),District of Columbia,Female,30-34 years,Diet high in sugar-sweetened beverages,1998,11.44448949
YLDs (Years Lived with Disability),District of Columbia,Female,40-44 years,Diet low in whole grains,1998,11.97489112
YLDs (Years Lived with Disability),Florida,Female,75-79 years,Diet low in fruits,1998,30.2304186
YLDs (Years Lived with Disability),Florida,Male,45-49 years,Diet high in sugar-sweetened beverages,1998,62.93425285
YLDs (Years Lived with Disability),Georgia,Female,40-44 years,Diet low in fruits,1998,9.600335535
YLDs (Years Lived with Disability),Idaho,Female,35-39 years,Diet low in vegetables,1998,0.164869799
YLDs (Years Lived with Disability),Idaho,Male,45-49 years,Diet low in fruits,1998,17.74443267
YLDs (Years Lived with Disability),Idaho,Female,85-89 years,Diet low in vegetables,1998,2.053837711
YLDs (Years Lived with Disability),Illinois,Female,50-54 years,Diet low in whole grains,1998,29.38691071
YLDs (Years Lived with Disability),Iowa,Female,95+ years,Diet low in whole grains,1998,57.99226787
YLDs (Years Lived with Disability),Maine,Female,55-59 years,Diet high in sugar-sweetened beverages,1998,92.0056216
YLDs (Years Lived with Disability),Maine,Male,80-84 years,Diet high in processed meat,1998,405.5676174
YLDs (Years Lived with Disability),Maine,Female,45-49 years,Diet low in vegetables,1998,0.446055717
YLDs (Years Lived with Disability),Maryland,Male,90-94 years,Diet high in processed meat,1998,291.4967159
YLDs (Years Lived with Disability),Maryland,Male,35-39 years,Diet low in whole grains,1998,10.78276486
YLDs (Years Lived with Disability),Maryland,Female,30-34 years,Diet low in fruits,1998,2.926176727
YLDs (Years Lived with Disability),Massachusetts,Female,30-34 years,Diet high in red meat,1998,6.25217857
YLDs (Years Lived with Disability),Michigan,Male,80-84 years,Diet low in whole grains,1998,107.2523905
YLDs (Years Lived with Disability),Minnesota,Male,40-44 years,Diet high in processed meat,1998,50.36351798
YLDs (Years Lived with Disability),Minnesota,Female,35-39 years,Diet low in whole grains,1998,6.232464103
YLDs (Years Lived with Disability),Mississippi,Male,40-44 years,Diet high in red meat,1998,38.72658732
YLDs (Years Lived with Disability),Montana,Female,40-44 years,Diet low in whole grains,1998,10.43033335
YLDs (Years Lived with Disability),Montana,Female,70-74 years,Diet low in vegetables,1998,2.016726013
YLDs (Years Lived with Disability),New Hampshire,Male,30-34 years,Diet low in fruits,1998,2.06614428
YLDs (Years Lived with Disability),New Hampshire,Female,40-44 years,Diet high in red meat,1998,19.23490699
YLDs (Years Lived with Disability),New Hampshire,Male,45-49 years,Diet low in fruits,1998,13.30492706
YLDs (Years Lived with Disability),New Jersey,Female,60-64 years,Diet low in whole grains,1998,55.38025799
YLDs (Years Lived with Disability),New Jersey,Male,40-44 years,Diet low in fiber,1998,2.661605655
YLDs (Years Lived with Disability),New Jersey,Male,95+ years,Diet high in sugar-sweetened beverages,1998,86.5256182
YLDs (Years Lived with Disability),New York,Female,35-39 years,Diet low in vegetables,1998,0.140019292
YLDs (Years Lived with Disability),New York,Male,75-79 years,Diet high in sugar-sweetened beverages,1998,161.5743828
YLDs (Years Lived with Disability),New York,Male,95+ years,Diet low in fiber,1998,18.00952
YLDs (Years Lived with Disability),North Dakota,Female,55-59 years,Diet high in processed meat,1998,181.347928
YLDs (Years Lived with Disability),Ohio,Female,40-44 years,Diet high in red meat,1998,26.23647316
YLDs (Years Lived with Disability),Oregon,Male,70-74 years,Diet low in whole grains,1998,103.3972905
YLDs (Years Lived with Disability),Oregon,Female,40-44 years,Diet high in red meat,1998,20.901215
YLDs (Years Lived with Disability),South Carolina,Female,80-84 years,Diet high in processed meat,1998,306.064761
YLDs (Years Lived with Disability),South Dakota,Male,35-39 years,Diet high in red meat,1998,13.85643096
YLDs (Years Lived with Disability),South Dakota,Female,90-94 years,Diet high in sugar-sweetened beverages,1998,62.19531244
YLDs (Years Lived with Disability),South Dakota,Female,30-34 years,Diet high in processed meat,1998,13.90110515
YLDs (Years Lived with Disability),South Dakota,Female,25-29 years,Diet high in red meat,1998,3.327886356
YLDs (Years Lived with Disability),South Dakota,Male,40-44 years,Diet low in whole grains,1998,17.13025408
YLDs (Years Lived with Disability),Tennessee,Male,45-49 years,Diet high in red meat,1998,61.40348346
YLDs (Years Lived with Disability),Tennessee,Male,90-94 years,Diet high in red meat,1998,132.5650442
YLDs (Years Lived with Disability),Texas,Male,85-89 years,Diet high in sugar-sweetened beverages,1998,84.77026959
YLDs (Years Lived with Disability),Texas,Male,50-54 years,Diet low in fruits,1998,27.29441169
YLDs (Years Lived with Disability),Texas,Male,40-44 years,Diet high in red meat,1998,39.63249182
YLDs (Years Lived with Disability),Texas,Female,75-79 years,Diet low in fiber,1998,19.40361248
YLDs (Years Lived with Disability),Utah,Male,90-94 years,Diet high in sugar-sweetened beverages,1998,83.25816113
YLDs (Years Lived with Disability),Vermont,Female,45-49 years,Diet low in whole grains,1998,17.5142785
YLDs (Years Lived with Disability),Vermont,Female,80-84 years,Diet high in processed meat,1998,267.39119
YLDs (Years Lived with Disability),Virginia,Male,95+ years,Diet high in red meat,1998,104.51433
YLDs (Years Lived with Disability),West Virginia,Female,95+ years,Diet low in fiber,1998,22.57137188
YLDs (Years Lived with Disability),West Virginia,Male,65-69 years,Diet high in processed meat,1998,464.945353
YLDs (Years Lived with Disability),West Virginia,Female,70-74 years,Diet high in sugar-sweetened beverages,1998,156.6125432
YLDs (Years Lived with Disability),Wisconsin,Male,90-94 years,Diet low in fruits,1998,37.3417429
YLDs (Years Lived with Disability),Wyoming,Male,30-34 years,Diet high in sugar-sweetened beverages,1998,8.051058138
YLDs (Years Lived with Disability),Wyoming,Male,80-84 years,Diet low in fiber,1998,22.1114069
YLDs (Years Lived with Disability),Alabama,Female,50-54 years,Diet low in fruits,1999,26.12717627
YLDs (Years Lived with Disability),Alabama,Male,80-84 years,Diet high in sugar-sweetened beverages,1999,140.556443
YLDs (Years Lived with Disability),Alabama,Female,45-49 years,Diet low in whole grains,1999,28.77614814
YLDs (Years Lived with Disability),Alaska,Male,80-84 years,Diet high in sugar-sweetened beverages,1999,147.1321783
YLDs (Years Lived with Disability),Arkansas,Male,40-44 years,Diet low in whole grains,1999,22.16421088
YLDs (Years Lived with Disability),Colorado,Male,30-34 years,Diet low in vegetables,1999,0.064252809
YLDs (Years Lived with Disability),Colorado,Female,60-64 years,Diet low in fiber,1999,8.612789994
YLDs (Years Lived with Disability),Delaware,Male,60-64 years,Diet low in whole grains,1999,113.2338768
YLDs (Years Lived with Disability),District of Columbia,Male,25-29 years,Diet high in processed meat,1999,5.029479406
YLDs (Years Lived with Disability),District of Columbia,Female,95+ years,Diet high in processed meat,1999,182.1759534
YLDs (Years Lived with Disability),District of Columbia,Male,60-64 years,Diet low in fruits,1999,9.50253481
YLDs (Years Lived with Disability),District of Columbia,Female,25-29 years,Diet high in processed meat,1999,7.262222272
YLDs (Years Lived with Disability),Florida,Female,90-94 years,Diet low in vegetables,1999,0.018023335
YLDs (Years Lived with Disability),Georgia,Female,25-29 years,Diet low in fruits,1999,2.321362702
YLDs (Years Lived with Disability),Hawaii,Male,85-89 years,Diet high in red meat,1999,188.0768873
YLDs (Years Lived with Disability),Hawaii,Female,40-44 years,Diet high in processed meat,1999,48.82466143
YLDs (Years Lived with Disability),Idaho,Male,90-94 years,Diet high in red meat,1999,112.855416
YLDs (Years Lived with Disability),Idaho,Male,55-59 years,Diet low in whole grains,1999,65.31719042
YLDs (Years Lived with Disability),Idaho,Female,60-64 years,Diet high in processed meat,1999,247.1017371
YLDs (Years Lived with Disability),Idaho,Female,45-49 years,Diet high in processed meat,1999,72.7762217
YLDs (Years Lived with Disability),Kansas,Male,75-79 years,Diet low in fiber,1999,23.0723952
YLDs (Years Lived with Disability),Kansas,Male,80-84 years,Diet high in red meat,1999,160.4981293
YLDs (Years Lived with Disability),Kentucky,Male,25-29 years,Diet low in vegetables,1999,0.0517958
YLDs (Years Lived with Disability),Kentucky,Female,75-79 years,Diet low in whole grains,1999,96.97452902
YLDs (Years Lived with Disability),Louisiana,Female,60-64 years,Diet high in sugar-sweetened beverages,1999,148.0862653
YLDs (Years Lived with Disability),Louisiana,Female,55-59 years,Diet low in whole grains,1999,61.9873444
YLDs (Years Lived with Disability),Louisiana,Female,35-39 years,Diet low in fiber,1999,2.726599316
YLDs (Years Lived with Disability),Maine,Male,80-84 years,Diet low in fruits,1999,42.14869848
YLDs (Years Lived with Disability),Maine,Male,90-94 years,Diet low in fruits,1999,79.61158925
YLDs (Years Lived with Disability),Maine,Female,35-39 years,Diet low in fruits,1999,5.013796841
YLDs (Years Lived with Disability),Maryland,Male,60-64 years,Diet low in fiber,1999,14.11608457
YLDs (Years Lived with Disability),Massachusetts,Female,65-69 years,Diet low in fiber,1999,13.56775918
YLDs (Years Lived with Disability),Michigan,Male,50-54 years,Diet low in fiber,1999,8.878734725
YLDs (Years Lived with Disability),Michigan,Male,65-69 years,Diet low in whole grains,1999,117.1684336
YLDs (Years Lived with Disability),Michigan,Male,25-29 years,Diet low in whole grains,1999,2.731960561
YLDs (Years Lived with Disability),Michigan,Female,80-84 years,Diet high in processed meat,1999,308.2503911
YLDs (Years Lived with Disability),Minnesota,Male,25-29 years,Diet low in fruits,1999,1.065969966
YLDs (Years Lived with Disability),Mississippi,Male,90-94 years,Diet low in fruits,1999,84.72829292
YLDs (Years Lived with Disability),Missouri,Male,60-64 years,Diet high in processed meat,1999,360.3682744
YLDs (Years Lived with Disability),Missouri,Female,40-44 years,Diet low in vegetables,1999,0.366437244
YLDs (Years Lived with Disability),Montana,Male,90-94 years,Diet high in red meat,1999,110.2986231
YLDs (Years Lived with Disability),Nebraska,Male,85-89 years,Diet low in fruits,1999,23.23886773
YLDs (Years Lived with Disability),Nebraska,Male,70-74 years,Diet high in sugar-sweetened beverages,1999,182.2470986
YLDs (Years Lived with Disability),Nebraska,Female,80-84 years,Diet high in sugar-sweetened beverages,1999,118.148936
YLDs (Years Lived with Disability),Nevada,Female,85-89 years,Diet high in processed meat,1999,266.1094746
YLDs (Years Lived with Disability),Nevada,Female,65-69 years,Diet high in red meat,1999,145.1574647
YLDs (Years Lived with Disability),New Hampshire,Male,75-79 years,Diet high in sugar-sweetened beverages,1999,194.8853014
YLDs (Years Lived with Disability),New Hampshire,Female,75-79 years,Diet high in red meat,1999,130.3958734
YLDs (Years Lived with Disability),New Jersey,Male,85-89 years,Diet high in processed meat,1999,327.3647565
YLDs (Years Lived with Disability),New Jersey,Male,35-39 years,Diet low in vegetables,1999,0.163643647
YLDs (Years Lived with Disability),New Jersey,Male,40-44 years,Diet low in vegetables,1999,0.345442534
YLDs (Years Lived with Disability),New Jersey,Male,40-44 years,Diet high in processed meat,1999,58.08309262
YLDs (Years Lived with Disability),New Jersey,Female,65-69 years,Diet high in sugar-sweetened beverages,1999,152.5256243
YLDs (Years Lived with Disability),New Mexico,Female,50-54 years,Diet high in red meat,1999,67.62776437
YLDs (Years Lived with Disability),New Mexico,Male,45-49 years,Diet high in processed meat,1999,118.1311371
YLDs (Years Lived with Disability),New Mexico,Male,35-39 years,Diet low in fruits,1999,5.910794923
YLDs (Years Lived with Disability),New Mexico,Female,30-34 years,Diet low in fruits,1999,4.206575643
YLDs (Years Lived with Disability),New York,Male,70-74 years,Diet low in vegetables,1999,2.746552115
YLDs (Years Lived with Disability),New York,Male,90-94 years,Diet low in fiber,1999,27.31006667
YLDs (Years Lived with Disability),North Dakota,Female,25-29 years,Diet high in red meat,1999,3.214892757
YLDs (Years Lived with Disability),North Dakota,Male,50-54 years,Diet high in sugar-sweetened beverages,1999,80.60968104
YLDs (Years Lived with Disability),Ohio,Male,45-49 years,Diet high in sugar-sweetened beverages,1999,68.57412645
YLDs (Years Lived with Disability),Ohio,Female,30-34 years,Diet low in fruits,1999,3.847442212
YLDs (Years Lived with Disability),Ohio,Female,30-34 years,Diet low in fiber,1999,1.25080695
YLDs (Years Lived with Disability),Oregon,Male,90-94 years,Diet high in red meat,1999,92.67703782
YLDs (Years Lived with Disability),Oregon,Female,90-94 years,Diet high in red meat,1999,63.20958533
YLDs (Years Lived with Disability),Pennsylvania,Male,85-89 years,Diet low in vegetables,1999,2.96552876
YLDs (Years Lived with Disability),Pennsylvania,Male,45-49 years,Diet high in processed meat,1999,110.8429613
YLDs (Years Lived with Disability),Pennsylvania,Female,50-54 years,Diet high in sugar-sweetened beverages,1999,78.17836575
YLDs (Years Lived with Disability),South Carolina,Female,45-49 years,Diet low in vegetables,1999,0.706418678
YLDs (Years Lived with Disability),South Carolina,Male,70-74 years,Diet high in sugar-sweetened beverages,1999,173.0738034
YLDs (Years Lived with Disability),South Dakota,Male,40-44 years,Diet low in vegetables,1999,0.066749369
YLDs (Years Lived with Disability),South Dakota,Male,25-29 years,Diet high in red meat,1999,2.771747924
YLDs (Years Lived with Disability),South Dakota,Male,45-49 years,Diet high in sugar-sweetened beverages,1999,51.86228927
YLDs (Years Lived with Disability),Tennessee,Female,60-64 years,Diet low in fruits,1999,26.20092114
YLDs (Years Lived with Disability),Tennessee,Female,95+ years,Diet high in red meat,1999,87.50909629
YLDs (Years Lived with Disability),Tennessee,Male,55-59 years,Diet low in whole grains,1999,82.05234678
YLDs (Years Lived with Disability),Utah,Male,25-29 years,Diet high in sugar-sweetened beverages,1999,3.896951467
YLDs (Years Lived with Disability),Washington,Female,30-34 years,Diet high in sugar-sweetened beverages,1999,10.60189083
YLDs (Years Lived with Disability),West Virginia,Female,75-79 years,Diet high in sugar-sweetened beverages,1999,156.139011
YLDs (Years Lived with Disability),West Virginia,Female,80-84 years,Diet high in processed meat,1999,374.1247681
YLDs (Years Lived with Disability),West Virginia,Male,45-49 years,Diet high in sugar-sweetened beverages,1999,69.33767896
YLDs (Years Lived with Disability),West Virginia,Male,55-59 years,Diet low in fiber,1999,15.69214774
YLDs (Years Lived with Disability),Wisconsin,Female,70-74 years,Diet low in fruits,1999,28.08146896
YLDs (Years Lived with Disability),Wyoming,Female,60-64 years,Diet low in fruits,1999,15.4896162
YLDs (Years Lived with Disability),Wyoming,Female,90-94 years,Diet high in red meat,1999,66.67371495
YLDs (Years Lived with Disability),Alabama,Male,45-49 years,Diet low in fruits,2000,25.59224462
YLDs (Years Lived with Disability),Alaska,Male,25-29 years,Diet high in sugar-sweetened beverages,2000,4.710286928
YLDs (Years Lived with Disability),California,Female,85-89 years,Diet low in fruits,2000,8.729600265
YLDs (Years Lived with Disability),California,Female,50-54 years,Diet high in red meat,2000,53.9600048
YLDs (Years Lived with Disability),Connecticut,Female,55-59 years,Diet low in whole grains,2000,40.47458269
YLDs (Years Lived with Disability),District of Columbia,Male,50-54 years,Diet high in red meat,2000,87.09392759
YLDs (Years Lived with Disability),Georgia,Male,40-44 years,Diet high in processed meat,2000,80.46059231
YLDs (Years Lived with Disability),Georgia,Male,45-49 years,Diet high in sugar-sweetened beverages,2000,77.2659218
YLDs (Years Lived with Disability),Georgia,Female,80-84 years,Diet low in fruits,2000,37.17117852
YLDs (Years Lived with Disability),Hawaii,Female,35-39 years,Diet high in red meat,2000,17.32252253
YLDs (Years Lived with Disability),Illinois,Male,55-59 years,Diet low in fiber,2000,10.10477819
YLDs (Years Lived with Disability),Illinois,Male,45-49 years,Diet low in vegetables,2000,0.645778658
YLDs (Years Lived with Disability),Iowa,Female,45-49 years,Diet high in sugar-sweetened beverages,2000,49.87988011
YLDs (Years Lived with Disability),Iowa,Male,25-29 years,Diet low in fiber,2000,0.411688533
YLDs (Years Lived with Disability),Iowa,Male,35-39 years,Diet high in red meat,2000,17.86478658
YLDs (Years Lived with Disability),Iowa,Female,85-89 years,Diet low in whole grains,2000,97.35549278
YLDs (Years Lived with Disability),Iowa,Female,45-49 years,Diet low in vegetables,2000,0.576743161
YLDs (Years Lived with Disability),Kansas,Female,90-94 years,Diet low in whole grains,2000,74.92227918
YLDs (Years Lived with Disability),Kansas,Female,65-69 years,Diet high in processed meat,2000,335.1044387
YLDs (Years Lived with Disability),Kansas,Male,75-79 years,Diet high in sugar-sweetened beverages,2000,180.5864751
YLDs (Years Lived with Disability),Kansas,Male,45-49 years,Diet low in fruits,2000,21.32545709
YLDs (Years Lived with Disability),Louisiana,Male,70-74 years,Diet high in sugar-sweetened beverages,2000,195.3988125
YLDs (Years Lived with Disability),Louisiana,Male,95+ years,Diet low in vegetables,2000,3.193859706
YLDs (Years Lived with Disability),Louisiana,Female,40-44 years,Diet high in processed meat,2000,66.59499864
YLDs (Years Lived with Disability),Maine,Female,75-79 years,Diet low in fiber,2000,22.6206599
YLDs (Years Lived with Disability),Maine,Male,70-74 years,Diet low in vegetables,2000,2.796709563
YLDs (Years Lived with Disability),Massachusetts,Male,50-54 years,Diet high in sugar-sweetened beverages,2000,103.0184675
YLDs (Years Lived with Disability),Massachusetts,Male,70-74 years,Diet low in fiber,2000,20.45682891
YLDs (Years Lived with Disability),Massachusetts,Female,30-34 years,Diet high in red meat,2000,6.689803566
YLDs (Years Lived with Disability),Michigan,Female,65-69 years,Diet high in sugar-sweetened beverages,2000,166.4037034
YLDs (Years Lived with Disability),Mississippi,Male,70-74 years,Diet low in vegetables,2000,4.834149232
YLDs (Years Lived with Disability),Mississippi,Male,75-79 years,Diet low in fiber,2000,27.30339403
YLDs (Years Lived with Disability),Mississippi,Female,40-44 years,Diet high in sugar-sweetened beverages,2000,40.85153531
YLDs (Years Lived with Disability),Missouri,Male,55-59 years,Diet low in whole grains,2000,78.69223245
YLDs (Years Lived with Disability),Missouri,Female,95+ years,Diet high in red meat,2000,99.57796501
YLDs (Years Lived with Disability),Missouri,Female,30-34 years,Diet low in fiber,2000,1.268034584
YLDs (Years Lived with Disability),Montana,Female,95+ years,Diet low in fruits,2000,36.36263905
YLDs (Years Lived with Disability),Nebraska,Female,50-54 years,Diet high in red meat,2000,71.3725689
YLDs (Years Lived with Disability),Nebraska,Male,80-84 years,Diet low in fruits,2000,32.89681709
YLDs (Years Lived with Disability),Nevada,Male,80-84 years,Diet low in vegetables,2000,3.821344017
YLDs (Years Lived with Disability),New Hampshire,Male,65-69 years,Diet high in sugar-sweetened beverages,2000,210.7776483
YLDs (Years Lived with Disability),New Hampshire,Female,50-54 years,Diet low in vegetables,2000,0.746904727
YLDs (Years Lived with Disability),New Hampshire,Female,65-69 years,Diet high in processed meat,2000,302.5923556
YLDs (Years Lived with Disability),New Mexico,Female,75-79 years,Diet high in processed meat,2000,377.0717852
YLDs (Years Lived with Disability),New Mexico,Female,65-69 years,Diet low in fruits,2000,40.53754773
YLDs (Years Lived with Disability),New Mexico,Female,65-69 years,Diet high in red meat,2000,158.0216614
YLDs (Years Lived with Disability),New York,Male,75-79 years,Diet low in whole grains,2000,118.2857638
YLDs (Years Lived with Disability),New York,Female,75-79 years,Diet low in whole grains,2000,78.07460397
YLDs (Years Lived with Disability),New York,Female,55-59 years,Diet low in whole grains,2000,46.43331798
YLDs (Years Lived with Disability),North Carolina,Male,85-89 years,Diet low in vegetables,2000,5.147956441
YLDs (Years Lived with Disability),North Carolina,Female,25-29 years,Diet low in fruits,2000,2.200097911
YLDs (Years Lived with Disability),North Dakota,Female,30-34 years,Diet low in fruits,2000,2.741234366
YLDs (Years Lived with Disability),North Dakota,Female,55-59 years,Diet low in fruits,2000,25.38990699
YLDs (Years Lived with Disability),North Dakota,Male,35-39 years,Diet low in fiber,2000,1.961179223
YLDs (Years Lived with Disability),North Dakota,Female,85-89 years,Diet high in sugar-sweetened beverages,2000,85.24993943
YLDs (Years Lived with Disability),Ohio,Female,75-79 years,Diet low in fruits,2000,54.65447932
YLDs (Years Lived with Disability),Oklahoma,Male,55-59 years,Diet high in processed meat,2000,285.0162298
YLDs (Years Lived with Disability),Oklahoma,Female,25-29 years,Diet high in sugar-sweetened beverages,2000,7.208393786
YLDs (Years Lived with Disability),Oklahoma,Female,70-74 years,Diet low in vegetables,2000,2.630407095
YLDs (Years Lived with Disability),Pennsylvania,Female,40-44 years,Diet low in fruits,2000,7.805776519
YLDs (Years Lived with Disability),Rhode Island,Female,75-79 years,Diet low in whole grains,2000,81.51510301
YLDs (Years Lived with Disability),South Carolina,Female,30-34 years,Diet low in fiber,2000,1.505137756
YLDs (Years Lived with Disability),South Carolina,Male,90-94 years,Diet high in processed meat,2000,394.562658
YLDs (Years Lived with Disability),South Dakota,Female,25-29 years,Diet low in vegetables,2000,0.012699652
YLDs (Years Lived with Disability),South Dakota,Male,75-79 years,Diet high in processed meat,2000,440.0403071
YLDs (Years Lived with Disability),Tennessee,Female,70-74 years,Diet low in fruits,2000,42.58962874
YLDs (Years Lived with Disability),Tennessee,Female,90-94 years,Diet high in sugar-sweetened beverages,2000,83.84265535
YLDs (Years Lived with Disability),Tennessee,Male,95+ years,Diet low in whole grains,2000,111.7651417
YLDs (Years Lived with Disability),Tennessee,Female,80-84 years,Diet high in processed meat,2000,349.7856513
YLDs (Years Lived with Disability),Tennessee,Male,90-94 years,Diet low in fruits,2000,83.60945753
YLDs (Years Lived with Disability),Texas,Male,90-94 years,Diet high in processed meat,2000,359.7318745
YLDs (Years Lived with Disability),Utah,Male,75-79 years,Diet low in vegetables,2000,3.078742721
YLDs (Years Lived with Disability),Utah,Female,65-69 years,Diet high in processed meat,2000,346.5403122
YLDs (Years Lived with Disability),Utah,Female,95+ years,Diet low in whole grains,2000,71.49888605
YLDs (Years Lived with Disability),Vermont,Male,30-34 years,Diet low in vegetables,2000,0.090140128
YLDs (Years Lived with Disability),Vermont,Male,40-44 years,Diet high in processed meat,2000,62.19223549
YLDs (Years Lived with Disability),Vermont,Male,30-34 years,Diet high in red meat,2000,7.262286706
YLDs (Years Lived with Disability),Virginia,Female,35-39 years,Diet low in vegetables,2000,0.205324763
YLDs (Years Lived with Disability),Virginia,Female,30-34 years,Diet high in processed meat,2000,18.70972076
YLDs (Years Lived with Disability),Virginia,Female,45-49 years,Diet low in vegetables,2000,0.387248855
YLDs (Years Lived with Disability),Washington,Female,40-44 years,Diet low in whole grains,2000,11.91365269
YLDs (Years Lived with Disability),Washington,Male,70-74 years,Diet low in fruits,2000,38.2917644
YLDs (Years Lived with Disability),West Virginia,Female,50-54 years,Diet low in fruits,2000,19.85066162
YLDs (Years Lived with Disability),West Virginia,Female,40-44 years,Diet high in sugar-sweetened beverages,2000,39.87490907
YLDs (Years Lived with Disability),Wisconsin,Male,35-39 years,Diet low in whole grains,2000,10.72358251
YLDs (Years Lived with Disability),Wyoming,Male,25-29 years,Diet low in vegetables,2000,0.034963473
YLDs (Years Lived with Disability),Alabama,Male,35-39 years,Diet high in sugar-sweetened beverages,2001,29.37086322
YLDs (Years Lived with Disability),Alabama,Male,50-54 years,Diet high in red meat,2001,105.7147361
YLDs (Years Lived with Disability),Alaska,Female,95+ years,Diet high in red meat,2001,95.85227191
YLDs (Years Lived with Disability),Arizona,Male,40-44 years,Diet high in processed meat,2001,74.10992588
YLDs (Years Lived with Disability),Arkansas,Male,70-74 years,Diet low in vegetables,2001,3.198423506
YLDs (Years Lived with Disability),Arkansas,Male,90-94 years,Diet low in fruits,2001,80.97492171
YLDs (Years Lived with Disability),Arkansas,Female,65-69 years,Diet low in vegetables,2001,2.30862291
YLDs (Years Lived with Disability),Arkansas,Male,45-49 years,Diet low in fiber,2001,7.08535475
YLDs (Years Lived with Disability),California,Male,35-39 years,Diet low in fiber,2001,1.66578824
YLDs (Years Lived with Disability),California,Female,50-54 years,Diet high in sugar-sweetened beverages,2001,71.51299365
YLDs (Years Lived with Disability),Colorado,Female,30-34 years,Diet low in fiber,2001,0.820376006
YLDs (Years Lived with Disability),District of Columbia,Male,55-59 years,Diet low in vegetables,2001,1.615404216
YLDs (Years Lived with Disability),District of Columbia,Male,55-59 years,Diet high in processed meat,2001,216.7298545
YLDs (Years Lived with Disability),Florida,Male,95+ years,Diet high in sugar-sweetened beverages,2001,116.8031135
YLDs (Years Lived with Disability),Florida,Female,90-94 years,Diet low in vegetables,2001,0.024846375
YLDs (Years Lived with Disability),Georgia,Male,25-29 years,Diet high in red meat,2001,4.356322253
YLDs (Years Lived with Disability),Georgia,Female,35-39 years,Diet low in fruits,2001,8.625001856
YLDs (Years Lived with Disability),Georgia,Female,60-64 years,Diet high in processed meat,2001,327.3532542
YLDs (Years Lived with Disability),Georgia,Male,55-59 years,Diet high in processed meat,2001,303.3059948
YLDs (Years Lived with Disability),Hawaii,Male,60-64 years,Diet low in fiber,2001,14.9306474
YLDs (Years Lived with Disability),Idaho,Male,30-34 years,Diet low in fruits,2001,2.732108755
YLDs (Years Lived with Disability),Illinois,Male,70-74 years,Diet high in red meat,2001,220.8580457
YLDs (Years Lived with Disability),Illinois,Female,55-59 years,Diet low in vegetables,2001,1.614217666
YLDs (Years Lived with Disability),Kansas,Male,55-59 years,Diet low in fiber,2001,11.23232706
YLDs (Years Lived with Disability),Kansas,Female,90-94 years,Diet high in sugar-sweetened beverages,2001,88.75829071
YLDs (Years Lived with Disability),Kansas,Male,80-84 years,Diet high in processed meat,2001,441.2870634
YLDs (Years Lived with Disability),Kansas,Female,65-69 years,Diet low in vegetables,2001,2.126563813
YLDs (Years Lived with Disability),Louisiana,Male,85-89 years,Diet low in whole grains,2001,151.3036149
YLDs (Years Lived with Disability),Maine,Female,45-49 years,Diet high in processed meat,2001,81.93575712
YLDs (Years Lived with Disability),Maine,Male,90-94 years,Diet low in whole grains,2001,178.4479937
YLDs (Years Lived with Disability),Maine,Male,50-54 years,Diet low in fruits,2001,17.61347601
YLDs (Years Lived with Disability),Maine,Female,50-54 years,Diet low in fiber,2001,6.975478573
YLDs (Years Lived with Disability),Maine,Male,40-44 years,Diet low in vegetables,2001,0.469792067
YLDs (Years Lived with Disability),Maryland,Male,70-74 years,Diet high in red meat,2001,212.6305614
YLDs (Years Lived with Disability),Massachusetts,Female,40-44 years,Diet high in sugar-sweetened beverages,2001,30.46782807
YLDs (Years Lived with Disability),Massachusetts,Male,70-74 years,Diet low in whole grains,2001,130.5790932
YLDs (Years Lived with Disability),Minnesota,Female,50-54 years,Diet low in fiber,2001,5.659309577
YLDs (Years Lived with Disability),Mississippi,Female,65-69 years,Diet low in vegetables,2001,2.755168978
YLDs (Years Lived with Disability),Mississippi,Female,85-89 years,Diet high in red meat,2001,117.2762291
YLDs (Years Lived with Disability),Mississippi,Male,95+ years,Diet high in sugar-sweetened beverages,2001,95.05539812
YLDs (Years Lived with Disability),Mississippi,Male,25-29 years,Diet high in red meat,2001,4.669062308
YLDs (Years Lived with Disability),Mississippi,Female,90-94 years,Diet high in sugar-sweetened beverages,2001,80.66461705
YLDs (Years Lived with Disability),Missouri,Male,95+ years,Diet low in fiber,2001,24.95705554
YLDs (Years Lived with Disability),Missouri,Female,30-34 years,Diet low in vegetables,2001,0.146785675
YLDs (Years Lived with Disability),Missouri,Male,55-59 years,Diet low in vegetables,2001,1.845531209
YLDs (Years Lived with Disability),Missouri,Male,75-79 years,Diet high in red meat,2001,246.0532099
YLDs (Years Lived with Disability),Missouri,Female,75-79 years,Diet low in whole grains,2001,95.60692611
YLDs (Years Lived with Disability),Nebraska,Female,80-84 years,Diet low in vegetables,2001,2.652953852
YLDs (Years Lived with Disability),Nevada,Male,80-84 years,Diet low in whole grains,2001,128.7204198
YLDs (Years Lived with Disability),Nevada,Male,50-54 years,Diet low in vegetables,2001,0.052336539
YLDs (Years Lived with Disability),New Hampshire,Male,60-64 years,Diet high in processed meat,2001,384.6813734
YLDs (Years Lived with Disability),New Jersey,Female,40-44 years,Diet high in red meat,2001,22.6886896
YLDs (Years Lived with Disability),New Mexico,Male,35-39 years,Diet low in fruits,2001,5.784771377
